Total Potential Stores,List of Retailers,City,State,Reflex Market,Prioritized Zip Codes
"2","PacSun, Tecovas","Alpharetta","GA","Not Live","30009, 30022"
"2","PacSun, Ralph Lauren Polo","Sterling","VA","Not Live","20166, 21100"
"2","PacSun, Polo Ralph Lauren Factory Store","Lutz","FL","Not Live","33559"
"2","PacSun, Polo Ralph Lauren Factory Store","Estero","FL","Not Live","10801, 23106"
"2","Pac Sun, Polo Ralph Lauren Factory Store","Williamsburg","IA","Not Live","52361"
"2","PacSun, Polo Ralph Lauren","Minneapolis","MN","Live","55425, 55435"
"2","Pac Sun, Pacific Sunwear","Springfield","IL","Not Live","62704, 65804"
"2","Pacific Sunwear Outlet, Polo Ralph Lauren Factory Store","Foley","AL","Not Live","36535"
"2","PacSun, Tecovas","Austin","TX","Not Live","78704, 78746"
"2","PacSun, Tecovas","Denver","CO","Live","80206"
"2","PacSun, Polo Ralph Lauren Factory Store","Chandler","AZ","Not Live","85226"
"2","PacSun, Polo Ralph Lauren Factory Store","Byron Center","MI","Not Live","49315"
"2","PacSun, Polo Ralph Lauren Factory Store","Livermore","CA","Not Live","94551"
"2","PacSun, Polo Ralph Lauren Factory Store","Eagan","MN","Not Live","55122"
"2","PacSun, Polo Ralph Lauren Factory Store","San Marcos","TX","Live","78666"
"2","PacSun, Polo Ralph Lauren Factory Store","Auburn Hills","MI","Not Live","48326"
"2","PacSun, Tecovas","Louisville","KY","Not Live","40207, 40222"
"2","PACSUN, Polo Ralph Lauren Factory Store","Altoona","PA","Not Live","16602, 50009"
"2","PacSun, Polo Ralph Lauren Factory Store","Carlsbad","CA","Not Live","92008"
"2","PacSun, SKIMS BOCA RATON","Boca Raton","FL","Not Live","33431"
"2","Pac Sun, Polo Ralph Lauren Factory Store","Southaven","MS","Not Live","38671"
"2","PacSun, Tecovas","Scottsdale","AZ","Not Live","15215, 85251"
"2","PacSun, Ralph Lauren","Palm Desert","CA","Not Live","92260"
"2","PacSun, Tecovas","Knoxville","TN","Live","37919"
"2","PacSun, Ralph Lauren","Tysons","VA","Not Live","22102"
"2","PacSun, Polo Ralph Lauren Factory Store","Merrimack","NH","Not Live","03054"
"2","Pacsun, Polo Ralph Lauren Factory Store","Commerce","GA","Not Live","30529"
"2","PacSun, Polo Ralph Lauren Factory Store","18521 Outlet Blvd Suite 524","MO","Not Live","18521"
"2","Pacific Sunwear Outlet, Polo Ralph Lauren Factory Store","238 Nut Tree Rd","CA","Not Live","95687"
"2","Polo Ralph Lauren Factory Store, Tecovas","Sevierville","TN","Not Live","37862"
"2","Polo Ralph Lauren, Polo Ralph Lauren Factory Store","Philadelphia","PA","Not Live","19102, 19154"
"2","Ralph Lauren, Tecovas","Aspen","CO","Not Live","81611"
"2","Polo Ralph Lauren Children's Factory Store, Polo Ralph Lauren Factory Store","Elizabeth","NJ","Not Live","07201"
"2","Ralph Lauren, Tecovas","Chicago","IL","Live","60607, 60611"
"2","Polo Ralph Lauren, Ralph Lauren","Boston","MA","Live","02116, 02199"
"1","PacSun","East Rutherford","NJ","Not Live","07073"
"1","PacSun","Albany","NY","Not Live","12203"
"1","PacSun","Broomfield","CO","Not Live","80021"
"1","PacSun","Norwalk","CT","Not Live","06854"
"1","PacSun","West Nyack","NY","Not Live","10994"
"1","PacSun","Newport Beach","CA","Not Live","92660"
"1","PacSun","West Des Moines","IA","Not Live","50266"
"1","PacSun","Strongsville","OH","Not Live","44136"
"1","Pacific Sunwear Outlet","Gulfport","MS","Not Live","10330"
"1","PacSun","Miramar Beach","FL","Not Live","10406"
"1","PacSun","Brea","CA","Not Live","92821"
"1","PacSun","Lake Grove","NY","Not Live","11755"
"1","PacSun","Santa Rosa","CA","Not Live","95401"
"1","PacSun","Pineville","NC","Not Live","11025"
"1","PacSun","Riverside","CA","Not Live","92503"
"1","PacSun","Annapolis","MD","Not Live","21401"
"1","PacSun","Overland Park","KS","Not Live","11675"
"1","PacSun","Ridgeland","MS","Not Live","39157"
"1","PacSun","Toms River","NJ","Not Live","08753"
"1","PacSun","Minnetonka","MN","Not Live","12315"
